district name,market name,commodity,min price (rs./quintal),max price (rs./quintal),modal price (rs./quintal),price date
Bellary,Hospet,Wheat,2785,2910,2810,2020-01-04
Bellary,Hospet,Wheat,2735,2960,2835,2020-01-14
Bellary,Hospet,Wheat,3050,3050,3050,2020-01-21
Bellary,Hospet,Wheat,2890,2890,2890,2020-02-19
Bellary,Hospet,Wheat,2790,2850,2850,2020-02-25
Bellary,Hospet,Wheat,2650,2825,2790,2020-03-17
Bellary,Bellary,Wheat,2100,2100,2100,2020-03-19
Bellary,Bellary,Wheat,2121,2121,2121,2020-05-02
Bellary,Bellary,Wheat,2082,2082,2082,2020-05-13
Bellary,Hospet,Wheat,2375,2560,2375,2020-05-29
Bellary,Hospet,Wheat,2425,2590,2530,2020-06-07
Bellary,Bellary,Wheat,1290,1290,1290,2020-06-08
Bellary,Hospet,Wheat,2470,2520,2470,2020-06-23
Bellary,Hospet,Wheat,2400,2400,2400,2020-07-04
Bellary,Hospet,Wheat,2450,2520,2450,2020-07-21
Bellary,Hospet,Wheat,2460,2550,2460,2020-08-16
Bellary,Hospet,Wheat,2465,2480,2480,2020-08-29
Bellary,Hospet,Wheat,2425,2470,2470,2020-09-15
Bellary,Hospet,Wheat,2450,2450,2450,2020-09-27
Bellary,Hospet,Wheat,2400,2415,2400,2020-10-16
Bellary,Hospet,Wheat,2425,2490,2450,2020-11-04
Bellary,Hospet,Wheat,2525,2555,2555,2020-11-17
Bellary,Hospet,Wheat,2434,2490,2434,2021-01-18
Bellary,Hospet,Wheat,2075,2371,2225,2021-03-17
Bellary,Hospet,Wheat,4900,4900,4900,2021-04-03
Bellary,Hospet,Wheat,2620,2620,2620,2021-05-11
Bellary,Hospet,Wheat,2600,2600,2600,2021-09-17
Bellary,Bellary,Wheat,1421,1421,1421,2021-09-23
Bellary,Hospet,Wheat,2645,2645,2645,2021-09-25
Bellary,Hospet,Wheat,2640,2640,2640,2021-10-12
Bellary,Hospet,Wheat,2650,2650,2650,2021-10-27
Bellary,Hospet,Wheat,2620,2700,2700,2022-01-05
Bellary,Hospet,Wheat,2631,2665,2665,2022-02-08
Bellary,Hospet,Wheat,2680,2680,2680,2022-02-19
Bellary,Bellary,Wheat,1611,2222,1757,2022-03-17
Bellary,Bellary,Wheat,1650,2150,1900,2022-03-21
Bellary,Bellary,Wheat,1711,1711,1711,2022-05-04
Bellary,Bellary,Wheat,1900,1900,1900,2022-05-31
Bellary,Bellary,Wheat,1889,1889,1889,2023-02-08
Bellary,Bellary,Wheat,6851,7151,6965,2023-03-16
Bellary,Bellary,Wheat,2526,2526,2526,2023-09-11
Bellary,Bellary,Wheat,2309,2309,2309,2023-10-21
Bellary,Hospet,Wheat,3550,3550,3550,2023-10-21
Bellary,Hospet,Wheat,3500,3500,3500,2023-10-30
Bellary,Hospet,Wheat,3650,3650,3650,2023-10-31
Bellary,Bellary,Wheat,2050,2050,2050,2024-02-19
Bellary,Kottur,Wheat,2401,2401,2401,2024-06-10
